Start Time,End Time,Subtitle
00:01:30:16,00:01:31:16,Hey!
00:03:16:07,00:03:17:23,We live in a twilight world.
00:03:19:24,00:03:21:16,We live in a twilight world.
00:03:22:07,00:03:23:16,And there are no friends at dusk.
00:03:23:20,00:03:26:18,You've been made. This siege is a blind for them to vanish you.
00:03:32:02,00:03:33:16,But I established contact.
00:03:33:20,00:03:35:01,Bring you in or kill you.
00:03:35:05,00:03:37:15,You have two minutes. Make up your mind.
00:03:42:15,00:03:43:18,Where's the package?
00:03:43:22,00:03:45:02,Coat check.
00:04:09:16,00:04:10:16,Stay.
00:04:37:06,00:04:38:17,"No friends at dusk, huh?"
00:04:38:18,00:04:39:14,You'll do.
00:04:39:18,00:04:41:04,Get him to the rally point.
00:05:13:06,00:05:16:00,Swap clothes. The Ukrainians are expecting a passenger.
00:05:16:09,00:05:17:23,I've never seen encapsulation like this.
00:05:18:04,00:05:20:06,"We don't know how old it is, but it's the real deal."
00:05:20:10,00:05:21:10,Did you have an out?
00:05:21:11,00:05:22:21,Service tunnel to the sewer.
00:05:23:08,00:05:26:15,Take this. Take him. Take his exit. I don't trust ours anymore.
00:05:26:19,00:05:27:15,Can you defuse that?
00:05:27:19,00:05:29:12,It's centrally synchronized. Are there more?
00:05:29:14,00:05:30:10,Covering their tracks.
00:05:30:14,00:05:32:05,- Taking out the audience? - They're just the cheap seats.
00:05:32:06,00:05:33:13,That's not our mission.
00:05:33:14,00:05:34:16,Mine now.
00:06:00:04,00:06:01:04,Walk away.
00:06:05:03,00:06:07:03,You don't have to kill these people.
00:06:19:23,00:06:20:23,That wasn't one of us.
00:06:21:03,00:06:22:12,I'll take the help.
00:06:24:15,00:06:25:15,"Go, go, go."
00:06:56:13,00:06:59:16,"A man can be trained to hold out for about 18 hours,"
00:06:59:20,00:07:02:19,so your colleagues will be clear by 7:00.
00:07:09:02,00:07:10:20,He didn't last 18 minutes.
00:07:10:23,00:07:12:18,He didn't have anything to hide.
00:07:12:22,00:07:15:05,You were smuggling a nobody.
00:07:18:06,00:07:19:22,It's risky.
